ExptStartTime, ExptEndTime
154832418,160445280
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

154958681, 155005005, 0, 0, 3,-1,RoundGoby,3,8,7,2
155013404, 155026604, 1, 1, 2,1,EurasianRuffe,3,8,7,1
155033980, 155043523, 2, 1, 3,1,RoundGoby,7,12,3,2
155057700, 155106123, 3, 1, 1,0,EurasianRuffe,3,8,3,1
155119252, 155132811, 4, 0, 3,-1,RoundGoby,7,12,3,2
155142276, 155147428, 5, 0, 1,-1,EurasianRuffe,3,8,7,1
155155868, 155204836, 6, 0, 1,-1,EurasianRuffe,3,8,7,2
155212548, 155224451, 7, 1, 1,0,EurasianRuffe,3,8,7,2
155233396, 155254276, 8, 1, 3,2,EurasianRuffe,7,12,7,1
155302318, 155311467, 9, 1, 3,2,RoundGoby,3,12,3,2
155324437, 155329291, 10, 0, 2,-1,YellowPerch,7,10,7,2
155335844, 155339587, 11, 1, 2,1,YellowPerch,3,10,7,2
155351188, 155359420, 12, 0, 3,-1,RoundGoby,7,10,3,1
155417124, 155430468, 13, 1, 1,2,EurasianRuffe,7,12,3,2
155437740, 155440156, 14, 0, 2,-1,YellowPerch,3,8,3,1
155450149, 155455347, 15, 1, 3,0,RoundGoby,3,8,7,2
155507876, 155514243, 16, 1, 1,1,EurasianRuffe,7,10,3,1
155525692, 155530891, 17, 0, 2,-1,YellowPerch,3,8,7,1
155539164, 155547309, 18, 0, 1,-1,EurasianRuffe,7,12,7,1
155553820, 155557292, 19, 0, 2,-1,YellowPerch,7,10,7,1
155603932, 155613748, 20, 1, 2,0,YellowPerch,7,8,3,2
155620557, 155625043, 21, 0, 1,-1,EurasianRuffe,7,12,7,2
155631477, 155634028, 22, 0, 2,-1,YellowPerch,3,10,7,2
155640653, 155643339, 23, 0, 3,-1,EurasianRuffe,3,8,3,1
155703037, 155713355, 24, 1, 2,0,YellowPerch,3,8,7,1
155720772, 155733148, 25, 0, 3,-1,EurasianRuffe,3,10,3,2
155739876, 155742452, 26, 0, 3,-1,RoundGoby,3,12,3,2
155749252, 155752396, 27, 1, 3,0,RoundGoby,3,10,3,1
155804989, 155808260, 28, 1, 2,2,YellowPerch,7,12,3,1
155817932, 155823445, 29, 1, 2,1,YellowPerch,7,10,7,1
155832101, 155837116, 30, 0, 2,-1,YellowPerch,7,8,3,2
155846405, 155849075, 31, 1, 3,0,RoundGoby,7,10,3,1
155907780, 155917788, 32, 1, 2,1,YellowPerch,7,10,7,2
155925909, 155927540, 33, 0, 3,-1,RoundGoby,3,12,7,1
155934069, 155938260, 34, 0, 2,-1,YellowPerch,3,12,3,2
155945789, 155959412, 35, 1, 2,2,YellowPerch,3,12,3,2
160008588, 160010764, 36, 0, 3,-1,RoundGoby,3,10,3,1
160017661, 160019957, 37, 0, 3,-1,RoundGoby,7,10,7,1
160026548, 160030964, 38, 0, 1,-1,EurasianRuffe,7,10,3,1
160037700, 160044700, 39, 1, 3,2,EurasianRuffe,7,12,7,2
160057828, 160100124, 40, 0, 2,-1,YellowPerch,7,12,3,1
160106501, 160113444, 41, 1, 3,1,EurasianRuffe,3,10,3,2
160120596, 160122452, 42, 1, 3,1,RoundGoby,3,12,7,1
160135349, 160152052, 43, 1, 3,0,RoundGoby,7,8,7,2
160201013, 160210829, 44, 1, 2,0,YellowPerch,3,8,3,1
160217644, 160220549, 45, 0, 3,-1,RoundGoby,7,8,7,2
160228589, 160237980, 46, 1, 3,0,RoundGoby,7,10,7,1
160249125, 160253668, 47, 0, 1,-1,EurasianRuffe,7,12,3,2
