Question, Response

How mentally demanding was the task,  5
How physically demanding was the task,  0
How hurried or rushed was the pace of the task,  14
How successful were you in accomplishing what you were asked to do,  15
How hard did you have to work to accomplish your level of performance,  8
How insecure discouraged irritated stressed and annoyed were you,  0
*********
Preferred gender,  female
Age in years,  20
How would you describe your past experience with virtual reality,  3
How natural did you find the Virtual Environment,  1
Round Goby,  5
Yellow Perch,  3
Eurasian Ruffe,  1
