Gaussian Location,standard deviation,Secondary Task Accuracy estimate atd,Secondary Task Accuracy R^2 atd,Secondary Task Accuracy P value atd,Primary Task estimate atd,Primary Task R^2 atd,Primary Task P value atd,Secondary Task Accuracy estimate ad,Secondary Task Accuracy R^2 ad,Secondary Task Accuracy P value ad,Primary Task estimate ad,Primary Task R^2 ad,Primary Task P value ad
1,0.0999999999999998,0.0273806167685646,0.000466624458633103,0.636865314159543,-0.042463197204785,0.00112229344651704,0.464013347077438,0.0274223004584446,0.000116367053278443,0.813642354926871,0.679090544318796,0.0713637451764395,2.74978224103651e-09
1,0.5,0.0329935495249636,0.00105713157047238,0.477290586982384,-0.0408014251718926,0.00161667092556206,0.379418370357483,0.017321397456792,5.59867292283522e-05,0.870119533353215,0.568407528119841,0.0602891116504032,5.06285564919092e-08
1,1,0.034401620054181,0.00116604448437319,0.455426420105325,-0.0408230282345685,0.00164197962470802,0.375710533493515,0.0163483649416065,4.83057868195802e-05,0.879284053168382,0.562846248216314,0.0572571944083162,1.12012301028874e-07
2,0.0999999999999998,0.0439842834736426,0.00165116783207186,0.374376999067443,-0.0429902455322501,0.00157737890032716,0.385277803840662,0.0128950467074178,2.13985911956538e-05,0.919483907978615,0.580234630270757,0.0433258042831778,4.24765747677089e-06
2,0.5,0.037595309508277,0.00136250809908456,0.419740498920683,-0.0413228455831205,0.00164608479797079,0.375113906483623,0.0148805843434619,3.6089800838246e-05,0.895557542520293,0.562934023897772,0.05164871376268,4.85119921358112e-07
2,1,0.0367823648423588,0.00131800256625769,0.427442719800421,-0.0411181640871256,0.00164704092639434,0.374975137787182,0.0151870408781963,3.86629111797099e-05,0.891920414782,0.561429551718582,0.0528370747190204,3.55711499995269e-07
3,0.0999999999999998,0.03174884646382,0.000965690337904168,0.496998284939721,-0.0405714988756838,0.00157697239159771,0.385339092181233,0.0181618348805867,6.29951087698366e-05,0.862306277166768,0.571197737969531,0.0623103717127601,2.97960257549211e-08
3,0.5,0.0350288243820112,0.00121212326198694,0.446649492579695,-0.0408033012633282,0.00164469838371117,0.375315252986313,0.0159603875388769,4.52302280660177e-05,0.883161732687841,0.560636937558684,0.0558091397855633,1.63600388483189e-07
3,1,0.0354966208786831,0.00124248538605887,0.441008822036285,-0.0408575526343263,0.00164612178632229,0.375108536803161,0.0157269393045158,4.32793354482319e-05,0.88569162783591,0.560263426023901,0.0549258400054764,2.06101927546761e-07
4,0.0999999999999998,0.0561586505722715,0.00170590440608742,0.366568068312627,-0.044891636717585,0.00109006461767291,0.470504847060926,0.013970258928535,1.44677286928463e-05,0.933758706921321,0.658579911902819,0.0321520304379534,7.80529982224793e-05
4,0.5,0.0395706572380866,0.00145795799430903,0.403900367774693,-0.0413246524450628,0.0015900724161354,0.383370967813422,0.0142340285953221,3.04039727525574e-05,0.904094062025691,0.563282575957997,0.0476131924231945,1.38998379038706e-06
4,1,0.0377054038377905,0.00137104427153256,0.418286906283407,-0.0410852375714234,0.00162785564739631,0.377773446423578,0.0147972803325939,3.54188198609107e-05,0.896527498458551,0.560263430440501,0.0507755733042858,6.09279439801556e-07
5,0.0999999999999998,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644394,0.00775182097380967,4.14015754894859e-05,0.888182260928077,0.28005313026526,0.0540368795669872,2.60004494792543e-07
5,0.5,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644394,0.00775182097380967,4.14015754894859e-05,0.888182260928077,0.28005313026526,0.0540368795669872,2.60004494792543e-07
5,1,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644394,0.00775182097380967,4.14015754894859e-05,0.888182260928077,0.28005313026526,0.0540368795669872,2.60004494792543e-07
