Gaussian Location,standard deviation,Secondary Task Accuracy estimate atd,Secondary Task Accuracy R^2 atd,Secondary Task Accuracy P value atd,Primary Task estimate atd,Primary Task R^2 atd,Primary Task P value atd,Secondary Task Accuracy estimate ad,Secondary Task Accuracy R^2 ad,Secondary Task Accuracy P value ad,Primary Task estimate ad,Primary Task R^2 ad,Primary Task P value ad
1,0.0999999999999998,0.0344754773713533,0.00148099605248675,0.400208323830311,-0.0440075233235236,0.00241316589974294,0.282780085671863,0.0623067817441757,0.000637394816848103,0.581104009693176,0.683733637360397,0.076755902147647,6.60420442634271e-10
1,0.5,0.0289065746635204,0.00182527513708097,0.350301161674458,-0.0483183711332432,0.00509987632453823,0.1181688973742,0.0905515826174759,0.00188855147495959,0.342075729902076,0.604729094067716,0.0842283829861136,9.05877418603236e-11
1,1,0.0285915207910475,0.00184558621607966,0.347631995158297,-0.0499592452320136,0.00563496940857577,0.100454658560957,0.0974528947748606,0.00219020763187705,0.30620552236964,0.605545084924795,0.0845646326452986,8.28179125384552e-11
2,0.0999999999999998,0.0293480214785227,0.00176133340390316,0.358888518190134,-0.0608261471325342,0.00756596854463309,0.0568666067947023,0.138182506123021,0.00363417116348475,0.18733164829856,0.657438602708441,0.0822639672564534,1.52889271332216e-10
2,0.5,0.0285408441077846,0.00184713299203521,0.347429857990576,-0.0536369364760907,0.00652367726958647,0.0770873555678953,0.111757019655761,0.00275875078874865,0.250749155608799,0.618125520442264,0.084394898775255,8.66531938713819e-11
2,1,0.0284706814156961,0.00184973113161169,0.347090683592759,-0.0527511566819757,0.00635004578233767,0.0811449780829944,0.108427857937173,0.00263726838709688,0.261469432650182,0.613804599816009,0.0845148159669645,8.39256741283648e-11
3,0.0999999999999998,0.0290434955040846,0.00179523113210589,0.354300708195467,-0.0471216514243806,0.00472567235088117,0.132594777553419,0.0855184936199939,0.0016844769551102,0.369597734524823,0.6029389017839,0.0837320261483624,1.03404340109996e-10
3,0.5,0.0284564430491305,0.00184861197190667,0.34723672942811,-0.0507599473852549,0.00588202491748724,0.0932727460434414,0.100740141876574,0.00233555288645082,0.290666494079214,0.606343505746388,0.0846100692383714,8.18202654629155e-11
3,1,0.0284276442417268,0.00184990896458792,0.347067484761411,-0.0513095260079101,0.00602649247684306,0.0893325854194462,0.102908994972019,0.00242484023330114,0.281617365113231,0.607888010915904,0.0846103734301876,8.18136268864215e-11
4,0.0999999999999998,0.0326085338250518,0.00146209048977397,0.403234469369004,-0.0796220394720542,0.0087172259540611,0.0408860951774761,0.201665382668254,0.00510216526560703,0.118086179104085,0.786184467793082,0.0775426664865676,5.3607154990524e-10
4,0.5,0.0284533738882319,0.00180992349723519,0.352337090246395,-0.0564890438000396,0.00713380319036916,0.0644655292964762,0.122549002263172,0.00319083053057023,0.216704908693217,0.62786171578701,0.0837552779680339,1.02765453585185e-10
4,1,0.0283633571146775,0.00183748646428061,0.348693100260019,-0.0540641044527392,0.00667616265996607,0.0737031267695342,0.113528556947313,0.00285266447836063,0.242829049216342,0.617159494828417,0.0843014974008316,8.8838678236464e-11
5,0.0999999999999998,0.0142045267225356,0.00184989919308864,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643595,0.0525664830258392,0.00251517542717938,0.272820569665988,0.304841630178638,0.0845860976499617,8.23451051751947e-11
5,0.5,0.0142045267225356,0.00184989919308864,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643595,0.0525664830258392,0.00251517542717938,0.272820569665988,0.304841630178638,0.0845860976499617,8.23451051751947e-11
5,1,0.0142045267225356,0.00184989919308864,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643595,0.0525664830258392,0.00251517542717938,0.272820569665988,0.304841630178638,0.0845860976499617,8.23451051751947e-11
