Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,0.264300139791881,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,-0.958834506466587,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,7.46019101855974,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,0.338864049441363,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,0.88823330100868,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,2.61998346536886,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,-2.93071466351069,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,-2.37966978761239,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,-0.0573148398923011,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,-0.0811166136224573,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,-0.474711702802319,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,3.4104437367103,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,0.392691628174288,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.413701576392,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,1.56900792097984,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,8.70839265170054,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,-0.0602979871586479,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,1.74631123379574,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,-6.48811986269463,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,2.71098646591482,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,2.94656283194706,3,8,3,2,1
1,23,1,0.1,-0.589800248546284,3.27180079568758,1.57335737583375,3,10,3,1,0
1,24,1,0.1,-0.915513156252714,-0.255609437163093,-0.74268600206395,3,8,7,1,1
2,1,1,0.1,0.464088670255891,-0.420558293861036,0.876381098764356,7,12,3,1,2
2,2,1,0.1,1.02587331658995,1.53300281310635,2.266818184403,7,10,3,1,0
2,3,1,0.1,0.830743635510334,3.48656392007375,1.80959926022819,7,12,7,1,1
2,4,1,0.1,1.23673926227276,-0.420558293861036,0.999352079656983,7,8,7,2,2
2,5,1,0.1,-0.0221619059828328,-0.420558293861036,1.69019453721882,7,12,7,2,1
2,6,1,0.1,0.674954615938704,0.556222259622659,0.15258636170955,7,12,7,1,2
2,7,1,0.1,1.43029531689206,-0.420558293861036,0.441329903277174,3,8,3,1,0
2,8,1,0.1,1.83943819657513,-0.746151811688934,2.36711738834969,3,10,7,1,2
2,9,1,0.1,0.0816974403982539,-0.746151811688934,0.271205345289376,3,10,3,2,0
2,10,1,0.1,-0.402979509380151,-0.746151811688934,-0.279308670469937,7,10,3,2,0
2,11,1,0.1,-0.0945487231575296,-0.420558293861036,1.17355741424389,7,8,7,2,0
2,12,1,0.1,0.169820522176146,0.556222259622659,1.25120485568506,3,12,7,2,2
2,13,1,0.1,-0.989942179079322,1.53300281310635,0.259503975399298,7,10,3,1,1
2,14,1,0.1,1.68050192408286,-0.420558293861036,0.550000593469007,3,8,7,2,1
2,15,1,0.1,-1.0607553697937,-0.746151811688934,0.964785094787875,7,10,7,1,0
2,16,1,0.1,-0.612271828602644,-0.420558293861036,2.01848180139885,3,12,3,2,2
2,17,1,0.1,0.475104055478128,0.556222259622659,0.465607897147427,3,8,3,2,1
2,18,1,0.1,-0.115005867141683,-0.420558293861036,0.172559261977464,3,12,3,1,2
2,19,1,0.1,-0.706689416221813,0.556222259622659,0.546186328076978,3,12,7,1,1
2,20,1,0.1,-1.42268945566718,-0.746151811688934,1.70908678464752,3,10,7,2,0
2,21,1,0.1,-0.635876225507436,-0.420558293861036,-0.713941060231838,7,12,3,2,1
2,22,1,0.1,-1.38649604707984,-0.420558293861036,0.521921936393585,3,8,7,1,0
2,23,1,0.1,-1.20080812476213,-0.420558293861036,-0.684030043411954,3,8,3,1,1
