Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,0.932542822033771,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,0.0439368227767345,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,7.51272356480378,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,4.15238394942466,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,4.3791828461194,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,1.63808060461006,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,-1.69472549882099,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,-1.06876206128073,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,-1.12994002714441,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,-0.311953270081969,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,-1.40173400685242,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,1.50723345063408,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,1.03880174854104,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.313850475318267,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,1.28889509361025,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,8.6095832763078,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,0.423521605184995,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,3.05990622973829,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,-3.76202607914285,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,1.7962316999625,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,0.92306470785077,3,8,3,2,1
1,23,1,0.1,-0.589800248546284,3.27180079568758,1.45049682246176,3,10,3,1,0
1,24,1,0.1,-0.915513156252714,-0.255609437163093,-0.833744037317215,3,8,7,1,1
2,1,1,0.1,0.464088670255891,-0.420558293861036,1.93738067222501,7,12,3,1,2
2,2,1,0.1,1.02587331658995,1.53300281310635,1.37021611609357,7,10,3,1,0
2,3,1,0.1,0.830743635510334,3.48656392007375,1.76399338687401,7,12,7,1,1
