Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,-0.206528793963031,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,-0.223469781219847,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,-0.0224104596893781,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,0.722189745165225,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,-0.180629000192856,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,0.0687368477504637,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,-0.3329928236423,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,0.12428712679378,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,1.19906774898226,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,0.154992391754961,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,0.828040514110013,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,0.273574151887048,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,-0.416250788807834,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.151653712018567,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,0.54293135919396,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,0.424546411152926,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,0.0431873576835494,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,0.868595824262002,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,0.428231030256275,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,0.264149350398336,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,0.371931576553073,3,8,3,2,1
1,23,1,0.1,-0.589800248546284,3.27180079568758,0.254398752168681,3,10,3,1,0
1,24,1,0.1,-0.915513156252714,-0.255609437163093,0.468755090630537,3,8,7,1,1
2,1,1,0.1,0.464088670255891,-0.420558293861036,-0.0370119697518402,7,12,3,1,2
2,2,1,0.1,1.02587331658995,1.53300281310635,0.0500156896959107,7,10,3,1,0
2,3,1,0.1,0.830743635510334,3.48656392007375,-0.00979564048740678,7,12,7,1,1
2,4,1,0.1,1.23673926227276,-0.420558293861036,0.0374535475280951,7,8,7,2,2
2,5,1,0.1,-0.0221619059828328,-0.420558293861036,-0.24411943289115,7,12,7,2,1
2,6,1,0.1,0.674954615938704,0.556222259622659,-0.0153673987555289,7,12,7,1,2
2,7,1,0.1,1.43029531689206,-0.420558293861036,0.44072945530128,3,8,3,1,0
2,8,1,0.1,1.83943819657513,-0.746151811688934,0.123497574488128,3,10,7,1,2
2,9,1,0.1,0.0816974403982539,-0.746151811688934,-0.265050499843406,3,10,3,2,0
2,10,1,0.1,-0.402979509380151,-0.746151811688934,0.0622245038773942,7,10,3,2,0
