Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,-0.206528793963031,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,-0.141735348200637,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,-1.12068356344467,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,2.86093137638365,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,0.035781167678851,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,0.238484184946633,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,0.0820760055506297,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,-0.0794299701836453,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,1.81106774577611,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,0.654279455131115,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,0.162343032921262,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,0.14390001778638,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,-0.768378911657123,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.306028984654471,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,-0.24618123179604,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,-1.11810912157163,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,0.542296105702782,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,2.91303474203592,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,-0.212000806648815,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,1.50195291129888,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,1.23954038656625,3,8,3,2,1
