Gaussian Location,standard deviation,Secondary Task Accuracy estimate atd,Secondary Task Accuracy R^2 atd,Secondary Task Accuracy P value atd,Primary Task estimate atd,Primary Task R^2 atd,Primary Task P value atd,Secondary Task Accuracy estimate ad,Secondary Task Accuracy R^2 ad,Secondary Task Accuracy P value ad,Primary Task estimate ad,Primary Task R^2 ad,Primary Task P value ad
1,0.0999999999999998,0.0344754773713533,0.00148099605248675,0.400208323830311,-0.0440075233235235,0.00241316589974283,0.282780085671864,0.0623067817441758,0.00063739481684788,0.581104009693176,0.683733637360395,0.076755902147647,6.60420442634314e-10
1,0.5,0.0289065746635204,0.00182527513708097,0.350301161674457,-0.048318371133243,0.00509987632453823,0.118168897374201,0.0905515826174759,0.00188855147495948,0.342075729902076,0.604729094067715,0.0842283829861136,9.05877418603263e-11
1,1,0.0285915207910475,0.00184558621607966,0.347631995158296,-0.0499592452320135,0.00563496940857577,0.100454658560957,0.0974528947748608,0.00219020763187705,0.306205522369639,0.605545084924794,0.0845646326452986,8.28179125384591e-11
2,0.0999999999999998,0.0293480214785227,0.00176133340390316,0.358888518190134,-0.0608261471325341,0.00756596854463321,0.0568666067947023,0.138182506123021,0.00363417116348475,0.18733164829856,0.65743860270844,0.0822639672564534,1.52889271332221e-10
2,0.5,0.0285408441077847,0.00184713299203521,0.347429857990575,-0.0536369364760906,0.00652367726958647,0.0770873555678974,0.111757019655761,0.00275875078874865,0.250749155608799,0.618125520442263,0.084394898775255,8.66531938713845e-11
2,1,0.0284706814156962,0.00184973113161169,0.347090683592758,-0.0527511566819756,0.00635004578233767,0.0811449780829944,0.108427857937174,0.00263726838709677,0.261469432650181,0.613804599816008,0.0845148159669646,8.39256741283685e-11
3,0.0999999999999998,0.0290434955040846,0.00179523113210589,0.354300708195467,-0.0471216514243806,0.00472567235088106,0.132594777553419,0.085518493619994,0.0016844769551102,0.369597734524824,0.6029389017839,0.0837320261483623,1.03404340109999e-10
3,0.5,0.0284564430491305,0.00184861197190656,0.34723672942811,-0.0507599473852548,0.00588202491748724,0.0932727460434422,0.100740141876574,0.00233555288645082,0.290666494079214,0.606343505746387,0.0846100692383714,8.1820265462916e-11
3,1,0.0284276442417269,0.00184990896458792,0.347067484761411,-0.05130952600791,0.00602649247684306,0.0893325854194463,0.102908994972019,0.00242484023330103,0.281617365113231,0.607888010915903,0.0846103734301876,8.18136268864252e-11
4,0.0999999999999998,0.0326085338250518,0.00146209048977397,0.403234469369004,-0.0796220394720541,0.0087172259540611,0.0408860951774762,0.201665382668255,0.00510216526560681,0.118086179104085,0.786184467793081,0.0775426664865675,5.36071549905256e-10
4,0.5,0.028453373888232,0.00180992349723519,0.352337090246394,-0.0564890438000395,0.00713380319036916,0.0644655292964764,0.122549002263172,0.00319083053057023,0.216704908693217,0.627861715787009,0.0837552779680339,1.02765453585188e-10
4,1,0.0283633571146776,0.00183748646428061,0.348693100260018,-0.0540641044527391,0.00667616265996607,0.0737031267695344,0.113528556947313,0.00285266447836041,0.242829049216341,0.617159494828416,0.0843014974008319,8.88386782364686e-11
5,0.0999999999999998,0.0142045267225356,0.00184989919308842,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643598,0.0525664830258393,0.00251517542717949,0.272820569665988,0.304841630178638,0.0845860976499619,8.23451051751977e-11
5,0.5,0.0142045267225356,0.00184989919308842,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643598,0.0525664830258393,0.00251517542717949,0.272820569665988,0.304841630178638,0.0845860976499619,8.23451051751977e-11
5,1,0.0142045267225356,0.00184989919308842,0.347068759427606,-0.0259396530399104,0.00616911480378401,0.0856186927643598,0.0525664830258393,0.00251517542717949,0.272820569665988,0.304841630178638,0.0845860976499619,8.23451051751977e-11
