Subject,Trial,Gaussian_Centroid,Standard_Deviation,Reaction_Time,Secondary_Task_Acc,Net_Cognitive_Load,Speed,Number_of_Fish,Turbidity,CameraDistance,Fish_Type
1,1,1,0.1,2.28434771725881,-0.255609437163093,0.932542822033771,7,8,3,1,0
1,3,1,0.1,-0.171026510066587,-0.843511142638205,0.958104503415729,3,10,3,1,1
1,4,1,0.1,1.60070853734751,1.50809567926225,0.742935215188244,3,12,3,1,2
1,5,1,0.1,-0.385782273389508,-0.255609437163093,0.347221561258025,7,12,3,1,2
1,6,1,0.1,0.0186744142019933,-0.255609437163093,0.886185834413008,7,12,3,2,0
1,7,1,0.1,-0.0672278911271752,-0.255609437163093,0.167965553711152,7,12,7,2,0
1,8,1,0.1,-0.471684578718677,-0.255609437163093,0.20199085286034,3,12,3,2,0
1,9,1,0.1,-0.428733426054093,-0.255609437163093,-0.0618465437359384,3,8,7,2,0
1,10,1,0.1,-0.740129282872328,-0.255609437163093,-2.52492056807008,7,8,3,2,2
1,11,1,0.1,-0.840348639089692,-0.843511142638205,-0.0756131596204825,7,10,7,1,1
1,12,1,0.1,-0.718653706540036,-0.255609437163093,-0.981991190925125,7,8,7,1,0
1,13,1,0.1,-0.16386798462249,1.50809567926225,1.08552424653474,3,12,7,1,0
1,14,1,0.1,-0.919092418974763,-0.255609437163093,-0.0116964718018214,7,8,3,1,1
1,15,1,0.1,1.10677028170479,-0.843511142638205,0.740454523138308,3,10,7,1,2
1,16,1,0.1,0.240588702969012,-0.843511142638205,-0.289265325975739,3,10,7,2,2
1,17,1,0.1,2.69954219301646,1.50809567926225,1.7665631232477,7,12,7,1,2
1,18,1,0.1,0.430289627237592,-0.255609437163093,0.91486357557241,7,8,7,2,1
1,19,1,0.1,-0.679281816597501,-0.255609437163093,-0.566964946270452,7,8,3,2,1
1,20,1,0.1,-0.546849095881699,-0.843511142638205,-3.008045408721,7,10,7,2,2
1,21,1,0.1,-0.443050476942287,-0.255609437163093,0.992145343006177,3,8,3,2,2
1,22,1,0.1,-0.29987996806034,-0.255609437163093,0.0574001637234682,3,8,3,2,1
1,23,1,0.1,-0.589800248546284,3.27180079568758,1.30405441547392,3,10,3,1,0
1,24,1,0.1,-0.915513156252714,-0.255609437163093,0.486087558378587,3,8,7,1,1
2,1,1,0.1,0.464088670255891,-0.420558293861036,1.93738067222501,7,12,3,1,2
2,2,1,0.1,1.02587331658995,1.53300281310635,2.33529243679393,7,10,3,1,0
2,3,1,0.1,0.830743635510334,3.48656392007375,2.15410974835614,7,12,7,1,1
2,4,1,0.1,1.23673926227276,-0.420558293861036,2.30123320554771,7,8,7,2,2
2,5,1,0.1,-0.0221619059828328,-0.420558293861036,2.30388942354009,7,12,7,2,1
2,6,1,0.1,0.674954615938704,0.556222259622659,1.80105990872356,7,12,7,1,2
2,7,1,0.1,1.43029531689206,-0.420558293861036,1.91149141055105,3,8,3,1,0
2,8,1,0.1,1.83943819657513,-0.746151811688934,2.45612731509766,3,10,7,1,2
2,9,1,0.1,0.0816974403982539,-0.746151811688934,2.08053945649721,3,10,3,2,0
2,10,1,0.1,-0.402979509380151,-0.746151811688934,1.06626196872863,7,10,3,2,0
2,11,1,0.1,-0.0945487231575296,-0.420558293861036,2.19847551889826,7,8,7,2,0
2,12,1,0.1,0.169820522176146,0.556222259622659,2.13832674191663,3,12,7,2,2
2,13,1,0.1,-0.989942179079322,1.53300281310635,0.600994275065948,7,10,3,1,1
2,14,1,0.1,1.68050192408286,-0.420558293861036,2.17301000735983,3,8,7,2,1
2,15,1,0.1,-1.0607553697937,-0.746151811688934,1.41359762773469,7,10,7,1,0
2,16,1,0.1,-0.612271828602644,-0.420558293861036,2.3585033042929,3,12,3,2,2
2,17,1,0.1,0.475104055478128,0.556222259622659,2.43173057381237,3,8,3,2,1
2,18,1,0.1,-0.115005867141683,-0.420558293861036,2.18538448343669,3,12,3,1,2
2,19,1,0.1,-0.706689416221813,0.556222259622659,2.26586419942374,3,12,7,1,1
2,20,1,0.1,-1.42268945566718,-0.746151811688934,0.264296794552553,3,10,7,2,0
2,21,1,0.1,-0.635876225507436,-0.420558293861036,1.18854270290414,7,12,3,2,1
2,22,1,0.1,-1.38649604707984,-0.420558293861036,0.151479327871714,3,8,7,1,0
2,23,1,0.1,-1.20080812476213,-0.420558293861036,0.562568229427414,3,8,3,1,1
2,24,1,0.1,-1.25903230379396,-0.420558293861036,-1.77054344495183,7,8,3,2,2
3,1,1,0.1,3.2587883326523,-0.313103974450949,-0.0923025172769439,7,8,3,2,0
3,2,1,0.1,0.338950201642425,1.29714503701107,0.703478401254939,3,8,3,1,0
3,3,1,0.1,0.773530760676452,-0.313103974450949,0.78584238581529,3,8,7,2,2
3,4,1,0.1,-0.231436782089736,1.29714503701107,-0.103600947715242,7,8,3,1,1
3,5,1,0.1,-0.557372201365257,-0.313103974450949,-0.195591767038295,7,8,7,1,1
3,6,1,0.1,-0.163533569740669,2.90739404847309,-3.52582509370142,7,10,7,2,1
3,7,1,0.1,-0.38761417049259,-0.849853644938288,0.277260321977965,7,10,3,1,2
3,8,1,0.1,-0.28575935196899,1.29714503701107,0.0660206083805158,7,8,7,2,0
3,9,1,0.1,-0.143162606035949,1.29714503701107,-0.456975224698056,3,12,7,1,1
3,10,1,0.1,-0.808614087056804,-0.849853644938288,-2.43459035369656,7,10,3,2,2
3,11,1,0.1,-0.964791475459657,-0.849853644938288,-2.85534610504029,3,10,7,1,0
3,12,1,0.1,-0.849356014466244,1.29714503701107,-0.851861820486054,3,12,3,1,1
3,13,1,0.1,-0.50983995272091,-0.313103974450949,-0.21176527586619,3,12,7,2,0
3,14,1,0.1,0.522288874984905,-0.849853644938288,0.681377245848393,3,10,3,2,2
3,15,1,0.1,-0.910468905580404,-0.849853644938288,-0.815810679036119,7,10,3,2,1
3,16,1,0.1,-0.217856139619923,-0.313103974450949,-0.337810331532975,3,8,3,1,2
3,17,1,0.1,-0.231436782089736,-0.313103974450949,0.0635410277489886,7,8,3,1,0
3,18,1,0.1,0.0605470310112509,-0.313103974450949,-1.28410543026525,3,8,3,2,0
3,19,1,0.1,0.0130147823669042,-0.313103974450949,-0.655753401850909,3,8,7,1,2
3,20,1,0.1,0.705627548327385,-0.313103974450949,-0.841920225508596,7,12,7,2,2
3,21,1,0.1,0.352530844112238,-0.313103974450949,-1.03364476923226,3,12,7,2,1
3,22,1,0.1,2.17233693506723,-0.849853644938288,0.661967047205147,3,10,3,2,1
3,23,1,0.1,-1.10059790015779,-0.849853644938288,-0.136200196006674,7,10,7,1,2
3,24,1,0.1,-0.83577537199643,-0.313103974450949,0.553734873373685,7,12,7,1,0
4,1,1,0.1,-0.00888346395525166,-0.0591726335413945,1.25968120034029,3,8,7,2,1
4,2,1,0.1,2.30747976237662,-0.0591726335413945,2.44917755724879,7,12,7,2,1
4,3,1,0.1,1.46799241860534,-0.0591726335413945,2.13672357741134,3,8,3,2,2
4,4,1,0.1,0.81505781789434,-0.0591726335413945,1.45667927559574,7,8,7,1,1
4,5,1,0.1,0.370884620131757,-0.68048528572603,1.76775791705368,7,10,3,1,2
4,6,1,0.1,0.0954972375189553,3.66870327956642,1.1897944530641,7,10,3,1,1
4,7,1,0.1,-0.144356289272839,-0.68048528572603,1.93827966369857,3,10,3,1,2
4,9,1,0.1,-1.33029872729894,-0.0591726335413945,0.239396688143342,7,8,3,2,0
4,10,1,0.1,-1.01271489089869,-0.0591726335413945,1.50470303849944,7,8,3,2,1
4,11,1,0.1,-0.424185403863267,-0.68048528572603,1.14775145649945,3,10,3,2,0
4,12,1,0.1,0.21320313492604,-0.0591726335413945,1.05937885027437,7,8,7,1,2
4,13,1,0.1,-0.684026724554378,-0.68048528572603,1.86242428842217,3,10,7,1,1
4,14,1,0.1,-0.746210972241139,-0.68048528572603,-1.62132263142547,7,10,3,2,2
4,15,1,0.1,0.470823589628338,1.80476532301251,0.921214022444306,3,12,3,1,1
4,16,1,0.1,0.262062186679924,-0.68048528572603,1.30634789947754,3,10,3,2,1
4,17,1,0.1,0.981622767055308,-0.0591726335413945,1.67582155872735,7,8,7,2,0
4,19,1,0.1,-1.1348625202834,-0.0591726335413945,0.0227448361881669,3,12,7,1,2
4,21,1,0.1,1.17927984005966,-0.68048528572603,1.80186089834408,3,10,3,1,0
4,22,1,0.1,-1.33029872729894,-0.0591726335413945,1.47840557561117,7,8,7,2,2
4,23,1,0.1,0.0444173197762583,-0.0591726335413945,1.79656904145867,3,12,7,1,0
4,24,1,0.1,-1.3924829749857,-0.0591726335413945,0.241641394369719,3,12,7,2,2
5,1,1,0.1,2.16756348179368,-0.395008187929654,1.00623272685957,7,8,7,2,2
5,2,1,0.1,1.08347567432217,-0.395008187929654,-0.3568626889605,3,8,7,1,2
5,3,1,0.1,0.18792487684571,-0.395008187929654,-0.140195064762379,7,12,3,2,2
5,4,1,0.1,-0.532555839921067,0.371772412169085,-5.18651013185236,3,12,7,2,2
5,5,1,0.1,1.28547961360258,-0.6506017212959,1.13702386488497,3,10,7,2,1
5,7,1,0.1,0.807403623972285,-0.395008187929654,0.177631843819048,3,8,3,2,0
5,9,1,0.1,0.120590230418908,-0.395008187929654,0.00565958259287047,3,8,7,1,1
5,10,1,0.1,-0.956764112409917,-0.6506017212959,-8.57787198898885,7,10,3,1,2
5,11,1,0.1,2.44363553214356,2.6721142124653,1.85491159978477,3,12,3,1,1
5,12,1,0.1,0.369728422198074,2.6721142124653,0.958055516121632,7,12,3,1,1
5,13,1,0.1,0.107123301133548,-0.395008187929654,0.642269077648369,7,8,3,2,1
5,14,1,0.1,-0.24301686028582,-0.395008187929654,-0.431133852061544,3,12,7,2,0
5,15,1,0.1,-0.357485759211383,-0.395008187929654,1.02494889438297,7,8,7,2,0
5,16,1,0.1,-1.07123301133548,-0.395008187929654,0.927867793776278,3,12,3,2,2
5,17,1,0.1,-1.165501516333,-0.6506017212959,-1.26657324220441,3,10,3,1,2
5,18,1,0.1,-0.559489698491788,1.13855301226782,0.77926870742523,3,10,3,1,0
5,19,1,0.1,-0.344018829926022,-0.6506017212959,0.851764996176072,7,10,7,2,1
5,20,1,0.1,-0.707625920630751,-0.6506017212959,-2.25683981357577,3,10,7,1,0
5,21,1,0.1,-0.552756233849107,1.13855301226782,-0.724991194970198,7,10,7,1,1
5,22,1,0.1,-0.822094819556314,-0.395008187929654,0.204961026122579,7,8,7,1,2
5,23,1,0.1,-0.465221193494265,-0.395008187929654,-1.14093940990318,7,12,7,1,0
5,24,1,0.1,-0.795160960985593,-0.395008187929654,0.469122899592668,7,8,3,2,0
6,1,1,0.1,0.233148016104067,-0.401593372583645,2.477367576451,3,8,7,2,1
6,2,1,0.1,2.25361710552058,0.912712210417374,2.21250139994397,7,12,3,2,1
6,3,1,0.1,0.111390490191631,0.912712210417374,1.68310884853632,3,8,7,1,0
6,4,1,0.1,0.813702016469159,-0.401593372583645,2.83242801854579,3,8,7,2,0
6,5,1,0.1,-0.336818373312119,-0.839695233583985,1.78407422673837,7,10,7,2,2
6,6,1,0.1,2.91004898435284,2.22701779341839,2.91114664065914,7,10,3,1,1
6,7,1,0.1,-0.0915387196624291,-0.401593372583645,2.46890694607364,3,8,3,1,2
6,8,1,0.1,0.0690400463960008,-0.401593372583645,1.56263283672568,3,8,7,1,2
6,9,1,0.1,0.40784359676104,-0.401593372583645,2.26325976056134,7,12,7,1,0
6,10,1,0.1,-0.66503431272825,-0.839695233583985,1.98045384584828,7,10,7,1,2
6,11,1,0.1,-0.430342270027468,-0.401593372583645,1.50405152035713,7,12,7,2,0
6,12,1,0.1,-0.864434318932674,-0.839695233583985,1.3802791288239,3,10,7,2,2
6,13,1,0.1,-0.118007747034698,-0.401593372583645,0.811015063943528,3,8,3,1,0
6,14,1,0.1,1.42954805333061,-0.839695233583985,2.95004100985006,3,10,3,2,0
6,15,1,0.1,-0.779733431341415,-0.401593372583645,1.12198972452563,3,12,3,2,1
6,16,1,0.1,0.317848903695326,-0.401593372583645,2.62780406745253,7,8,3,2,2
6,17,1,0.1,-1.05677591783783,0.912712210417374,0.652179814656954,3,12,7,1,1
6,18,1,0.1,-0.250352883896041,-0.401593372583645,0.660097930786193,3,12,3,2,2
6,19,1,0.1,-0.966781224772113,2.22701779341839,0.984448734464648,3,10,3,1,1
6,20,1,0.1,-0.91031396637794,2.22701779341839,1.59787774022404,7,10,7,1,1
6,21,1,0.1,-0.403873242655199,-0.839695233583985,2.27415937454572,7,10,3,1,0
6,22,1,0.1,-0.959722817472841,-0.401593372583645,1.2944002877343,7,12,3,1,2
6,23,1,0.1,-0.423283862728196,-0.401593372583645,0.998581849909097,7,8,7,2,1
6,24,1,0.1,-0.289174124042035,-0.401593372583645,0.562567486261176,7,12,3,2,0
7,1,1,0.1,1.46706724705617,-0.290957186981324,1.91783781680516,7,8,7,2,2
7,2,1,0.1,3.76560498367291,-0.290957186981324,2.23249157067503,3,8,7,1,2
7,3,1,0.1,0.939971510647681,-0.290957186981324,1.07234179516791,7,12,3,2,2
7,4,1,0.1,0.085942975707351,-0.290957186981324,-0.477338540185366,3,12,7,2,2
7,6,1,0.1,-0.254334018682937,-0.290957186981324,-0.601481876382437,7,8,3,1,0
7,7,1,0.1,-0.457833005524187,-0.290957186981324,-0.418093602575483,3,8,3,2,0
7,8,1,0.1,-0.368871699801236,-0.290957186981324,-1.19774694192864,3,8,3,2,1
7,9,1,0.1,0.065926681919687,-0.290957186981324,-0.0887048350255437,3,8,7,1,1
7,10,1,0.1,-0.331063144868982,2.76409327632257,-1.35005049562018,7,10,3,1,2
7,12,1,0.1,-0.00524236265867385,1.23656804467062,1.44326590621081,7,12,3,1,1
7,13,1,0.1,-0.510097772636421,-0.290957186981324,0.153828936969253,7,8,3,2,1
7,14,1,0.1,-0.472289217704167,-0.290957186981324,1.12315285049307,3,12,7,2,0
7,15,1,0.1,-0.541234229639454,-0.290957186981324,-4.73935048154974,7,8,7,2,0
7,16,1,0.1,-0.531226082745622,-0.290957186981324,-0.171031875334163,3,12,3,2,2
7,17,1,0.1,-0.294366606258265,-0.800132264198639,-0.667225186281018,3,10,3,1,2
7,19,1,0.1,-0.425584532199618,-0.800132264198639,-1.05009644688312,7,10,7,2,1
7,20,1,0.1,-0.446712842308818,-0.800132264198639,-1.07672951203665,3,10,7,1,0
7,21,1,0.1,-0.430032597485765,2.76409327632257,-0.233720123580712,7,10,7,1,1
7,22,1,0.1,-0.401120173125806,-0.290957186981324,-0.850639735667056,7,8,7,1,2
7,23,1,0.1,-0.516769870565642,-0.290957186981324,-0.997847148572081,7,12,7,1,0
7,24,1,0.1,-0.337735242798203,-0.290957186981324,1.1952041719639,7,8,3,2,0
8,1,1,0.1,1.74430280251217,-0.81401415689105,0.836693616584896,3,10,7,1,1
8,2,1,0.1,1.95922110775353,-0.222003860970287,0.347399009759968,3,8,3,2,0
8,3,1,0.1,1.11011763950489,-0.81401415689105,-0.96727929545828,7,10,3,2,2
8,4,1,0.1,1.51881474455403,-0.81401415689105,0.690517193587737,7,10,3,2,0
8,5,1,0.1,0.070758622354054,-0.222003860970287,-0.546470160305745,3,8,3,1,1
8,6,1,0.1,-0.0490319084362115,1.554027026792,-2.09610134869898,7,12,7,2,0
8,7,1,0.1,1.08193163226012,-0.222003860970287,-0.254861699629438,7,8,7,1,1
8,8,1,0.1,1.17353615580562,-0.222003860970287,0.209752802160366,3,8,3,2,2
8,9,1,0.1,-1.06020491834228,-0.222003860970287,-4.04543496255485,3,8,7,1,2
8,10,1,0.1,-0.817100605856149,-0.222003860970287,-0.599373523206867,7,8,3,1,0
8,11,1,0.1,-0.891088874873666,-0.222003860970287,-0.480936951820663,3,8,7,1,0
8,12,1,0.1,0.204642156766704,-0.222003860970287,1.68434755591421,7,8,7,1,0
8,13,1,0.1,-0.426019755334988,-0.222003860970287,-2.56723421097801,7,8,3,1,1
8,14,1,0.1,-0.820623856761745,-0.222003860970287,-1.5144640881082,3,12,7,2,2
8,15,1,0.1,-0.915751631212838,-0.81401415689105,-0.158181972655943,3,10,7,2,1
8,16,1,0.1,0.704943785361342,-0.222003860970287,0.185940967127723,7,12,7,2,2
8,17,1,0.1,0.641525269060613,3.3300579145543,-0.384276679922447,7,10,7,2,1
8,18,1,0.1,-0.993263151135951,1.554027026792,1.69891459386278,3,12,3,1,2
8,19,1,0.1,-0.140636431981709,-0.222003860970287,1.66847557833419,7,12,3,2,1
8,20,1,0.1,-1.05315841653108,-0.222003860970287,-1.01662317473338,3,12,3,1,0
8,21,1,0.1,-0.898135376684858,1.554027026792,1.15515693511429,7,8,7,1,2
8,22,1,0.1,-0.947460889363202,-0.81401415689105,1.51935700680853,3,10,3,2,1
8,23,1,0.1,-0.95803064207999,-0.81401415689105,-2.9741598059988,7,10,3,1,2
8,24,1,0.1,-0.239287457338398,-0.222003860970287,-0.708496953429208,3,12,7,2,0
9,1,1,0.1,0.260359713264582,-0.375540841706121,0.69045431786901,7,8,7,1,0
9,2,1,0.1,0.872162075787297,0.706016782407506,0.720850179601707,3,8,7,1,2
9,3,1,0.1,0.0506971058832025,0.706016782407506,0.196600909378757,3,12,3,2,2
9,4,1,0.1,0.229425885946018,-0.375540841706121,0.640974677636869,7,12,3,2,2
9,5,1,0.1,0.555949618753085,-0.375540841706121,-0.092378878508219,7,8,3,1,1
9,6,1,0.1,-0.45455540698668,-0.375540841706121,0.565079560063709,7,8,7,1,2
9,7,1,0.1,0.188180782854599,-0.736060049743996,-3.1262316788359,7,10,7,2,1
9,8,1,0.1,3.27468933086245,-0.375540841706121,2.12370951386834,3,8,7,2,2
9,9,1,0.1,0.0575712897317723,3.95068965474839,-0.0297136312994307,3,12,7,1,1
9,10,1,0.1,-0.433932855440971,0.706016782407506,0.368560626632882,7,12,3,1,0
9,11,1,0.1,1.06463922354725,-0.736060049743996,1.09103400733669,3,10,3,2,0
9,12,1,0.1,-0.884191897522294,-0.375540841706121,-1.27009058771595,7,8,7,1,1
9,13,1,0.1,-0.976993379477987,0.706016782407506,-0.422007657930381,3,12,3,1,1
9,14,1,0.1,0.896221719257292,-0.375540841706121,0.788230319981179,3,8,3,1,0
9,15,1,0.1,-0.578290716260937,0.706016782407506,0.0488160306708976,7,8,3,2,1
9,16,1,0.1,-0.949496644083708,-0.375540841706121,0.337626885217094,3,12,3,2,1
9,17,1,0.1,-0.743271128626613,-0.736060049743996,1.25431706810438,7,10,3,2,0
9,18,1,0.1,-0.935748276386568,0.706016782407506,-1.5515434119094,3,12,7,1,0
9,19,1,0.1,0.384095022538839,-0.736060049743996,-0.308745077836485,3,10,7,2,0
9,20,1,0.1,1.22618254398864,-0.375540841706121,0.662027665101464,3,12,3,1,2
9,21,1,0.1,-0.616098727428071,-0.375540841706121,-1.5072220191478,3,8,7,2,1
9,22,1,0.1,-0.66421801436806,-0.375540841706121,0.760438007293344,7,8,7,2,2
9,23,1,0.1,-1.21071563032936,-0.375540841706121,-1.38862034759776,7,8,3,1,2
9,24,1,0.1,-0.612661635503786,-0.736060049743996,0.670365715614569,7,10,7,2,0
10,1,1,0.1,0.296138490004323,-0.435642635968827,0.182309835369151,7,12,3,1,2
10,2,1,0.1,-0.863279046458227,-0.91088914793482,0.0934094634681532,7,10,3,1,0
10,3,1,0.1,-0.850710834680855,0.990096899929152,-0.241165357662367,7,12,7,1,1
10,4,1,0.1,0.726599743379308,-0.435642635968827,0.49751141349535,7,8,7,2,2
10,5,1,0.1,-0.0212088573743149,-0.435642635968827,1.2389831184537,7,12,7,2,1
10,6,1,0.1,1.78232953267854,0.990096899929152,-0.351723553567253,7,12,7,1,2
10,7,1,0.1,0.113899419232432,0.990096899929152,0.965754999000029,3,8,3,1,0
10,8,1,0.1,0.393542131278955,-0.91088914793482,0.232499860987364,3,10,7,1,2
10,9,1,0.1,-0.341698257697296,2.41583643582713,1.53724936600623,3,10,3,2,0
10,10,1,0.1,-0.401397263639812,-0.91088914793482,-0.0828776936577016,7,10,3,2,0
10,11,1,0.1,-0.0777658103724881,0.990096899929152,0.229419357742548,7,8,7,2,0
10,12,1,0.1,0.73916795515668,-0.435642635968827,1.50542190179027,3,12,7,2,2
10,13,1,0.1,-0.674755869797649,-0.91088914793482,-0.259990074541617,7,10,3,1,1
10,14,1,0.1,-0.995245270120631,-0.435642635968827,0.246896563359723,3,8,7,2,1
10,15,1,0.1,2.75008183953617,-0.91088914793482,1.55208680832969,7,10,7,1,0
10,16,1,0.1,0.54750272555176,-0.435642635968827,-0.835907473902271,3,12,3,2,2
10,17,1,0.1,0.849139808208683,-0.435642635968827,1.16133288650414,3,8,3,2,1
10,18,1,0.1,-0.847568781736512,-0.435642635968827,-1.00399029635162,3,12,3,1,2
10,19,1,0.1,-1.33772904105401,0.990096899929152,-1.17709461510793,3,12,7,1,1
10,20,1,0.1,0.054200413289916,2.41583643582713,0.313250469809538,3,10,7,2,0
