ExptStartTime, ExptEndTime
153749583,155402906
Time Start, Time Answer, Trial#, Trial Type, User Type1 Response, User Type2 Response, Species, Speed, Count, Fog, Zoom 

153922765, 153934231, 0, 1, 1,2,EurasianRuffe,3,12,7,2
153953408, 154001023, 1, 1, 2,2,YellowPerch,3,12,7,2
154017279, 154026207, 2, 1, 3,0,RoundGoby,3,8,3,2
154041089, 154057286, 3, 1, 1,1,RoundGoby,7,10,7,2
154115656, 154130807, 4, 0, 3,-1,YellowPerch,7,8,7,2
154138784, 154207727, 5, 0, 3,-1,YellowPerch,3,8,7,1
154217992, 154224462, 6, 1, 3,0,YellowPerch,3,8,7,1
154238151, 154312399, 7, 1, 3,1,RoundGoby,3,12,3,1
154320048, 154324230, 8, 1, 3,0,RoundGoby,3,8,7,1
154334423, 154344142, 9, 0, 2,-1,YellowPerch,7,12,3,2
154353663, 154356942, 10, 1, 1,0,EurasianRuffe,7,8,3,1
154409591, 154413206, 11, 1, 1,0,EurasianRuffe,7,8,7,2
154424016, 154444014, 12, 1, 2,0,YellowPerch,7,10,3,1
154454183, 154500838, 13, 0, 2,-1,YellowPerch,3,12,7,2
154507399, 154510375, 14, 0, 3,-1,RoundGoby,3,10,7,2
154517127, 154520870, 15, 1, 3,1,RoundGoby,7,12,3,1
154533143, 154535959, 16, 1, 2,2,YellowPerch,7,12,3,2
154607464, 154611367, 17, 0, 1,-1,EurasianRuffe,7,8,3,1
154618263, 154621247, 18, 0, 1,-1,EurasianRuffe,3,8,3,2
154627630, 154630182, 19, 1, 1,0,EurasianRuffe,7,8,3,2
154642487, 154648422, 20, 1, 2,0,YellowPerch,7,8,7,1
154658943, 154701207, 21, 1, 3,0,RoundGoby,7,10,7,1
154722087, 154733870, 22, 1, 3,1,RoundGoby,3,10,7,2
154740479, 154743622, 23, 0, 3,-1,RoundGoby,3,8,3,2
154809087, 154812134, 24, 1, 1,1,EurasianRuffe,3,10,7,1
154824671, 154831190, 25, 0, 3,-1,RoundGoby,3,8,7,1
154837791, 154841342, 26, 0, 2,-1,YellowPerch,7,10,3,1
154848343, 154851239, 27, 0, 3,-1,RoundGoby,3,12,3,1
154858231, 154900310, 28, 1, 2,0,YellowPerch,7,8,7,2
154911776, 154917831, 29, 0, 3,-1,RoundGoby,7,12,3,1
154924311, 154926791, 30, 0, 3,-1,RoundGoby,7,8,3,2
154933215, 154936126, 31, 0, 1,-1,EurasianRuffe,3,12,7,2
154942376, 154944254, 32, 0, 1,-1,EurasianRuffe,7,8,7,2
154951256, 154953303, 33, 0, 2,-1,YellowPerch,3,12,3,2
155000367, 155008118, 34, 1, 1,2,EurasianRuffe,7,12,7,1
155015352, 155021055, 35, 1, 2,1,YellowPerch,3,10,3,1
155028151, 155032398, 36, 0, 2,-1,YellowPerch,3,10,3,1
155038744, 155040830, 37, 0, 1,-1,EurasianRuffe,3,10,3,1
155047272, 155058263, 38, 1, 2,2,YellowPerch,3,12,3,2
155104935, 155107247, 39, 0, 3,-1,RoundGoby,7,10,7,2
155114479, 155117118, 40, 0, 1,-1,EurasianRuffe,3,10,7,1
155123863, 155125975, 41, 0, 3,-1,RoundGoby,7,10,7,1
155133343, 155136679, 42, 0, 2,-1,YellowPerch,7,8,7,1
155143015, 155145214, 43, 0, 1,-1,EurasianRuffe,7,12,7,1
155151895, 155159399, 44, 1, 1,1,EurasianRuffe,3,10,3,1
155206431, 155213335, 45, 1, 3,0,RoundGoby,7,8,3,2
155221815, 155225446, 46, 0, 1,-1,EurasianRuffe,7,8,3,2
155232072, 155237726, 47, 1, 1,0,EurasianRuffe,3,8,3,2
