Gaussian Location,standard deviation,Secondary Task Accuracy estimate atd,Secondary Task Accuracy R^2 atd,Secondary Task Accuracy P value atd,Primary Task estimate atd,Primary Task R^2 atd,Primary Task P value atd,Secondary Task Accuracy estimate ad,Secondary Task Accuracy R^2 ad,Secondary Task Accuracy P value ad,Primary Task estimate ad,Primary Task R^2 ad,Primary Task P value ad
1,0.0999999999999998,0.0273806167685647,0.000466624458633103,0.636865314159543,-0.042463197204785,0.00112229344651693,0.464013347077439,0.0274223004584447,0.000116367053278443,0.81364235492687,0.679090544318795,0.0713637451764395,2.74978224103656e-09
1,0.5,0.0329935495249637,0.00105713157047238,0.477290586982384,-0.0408014251718925,0.00161667092556206,0.379418370357484,0.017321397456792,5.59867292283522e-05,0.870119533353215,0.568407528119841,0.060289111650403,5.06285564919095e-08
1,1,0.034401620054181,0.00116604448437319,0.455426420105325,-0.0408230282345684,0.00164197962470813,0.375710533493515,0.0163483649416065,4.83057868195802e-05,0.879284053168382,0.562846248216314,0.0572571944083162,1.12012301028875e-07
2,0.0999999999999998,0.0439842834736427,0.00165116783207186,0.374376999067442,-0.04299024553225,0.00157737890032716,0.385277803840662,0.0128950467074178,2.13985911956538e-05,0.919483907978615,0.580234630270756,0.0433258042831778,4.24765747677096e-06
2,0.5,0.037595309508277,0.00136250809908456,0.419740498920682,-0.0413228455831204,0.00164608479797079,0.375113906483624,0.0148805843434619,3.6089800838246e-05,0.895557542520293,0.562934023897771,0.0516487137626801,4.85119921358117e-07
2,1,0.0367823648423588,0.00131800256625769,0.427442719800421,-0.0411181640871255,0.00164704092639434,0.374975137787182,0.0151870408781963,3.86629111798209e-05,0.891920414782,0.561429551718582,0.0528370747190204,3.55711499995277e-07
3,0.0999999999999998,0.0317488464638201,0.000965690337904057,0.49699828493972,-0.0405714988756837,0.0015769723915976,0.385339092181233,0.0181618348805866,6.29951087698366e-05,0.862306277166768,0.57119773796953,0.0623103717127601,2.97960257549218e-08
3,0.5,0.0350288243820112,0.00121212326198694,0.446649492579696,-0.0408033012633281,0.00164469838371117,0.375315252986312,0.0159603875388768,4.52302280660177e-05,0.883161732687842,0.560636937558683,0.0558091397855633,1.63600388483189e-07
3,1,0.0354966208786831,0.00124248538605876,0.441008822036285,-0.0408575526343261,0.00164612178632229,0.375108536803163,0.0157269393045157,4.32793354480099e-05,0.885691627835911,0.5602634260239,0.0549258400054763,2.06101927546761e-07
4,0.0999999999999998,0.0561586505722716,0.00170590440608731,0.366568068312627,-0.0448916367175849,0.00109006461767269,0.470504847060927,0.0139702589285349,1.44677286927353e-05,0.933758706921322,0.658579911902818,0.0321520304379534,7.80529982224799e-05
4,0.5,0.0395706572380867,0.00145795799430892,0.403900367774692,-0.0413246524450627,0.0015900724161354,0.383370967813422,0.014234028595322,3.04039727526684e-05,0.904094062025691,0.563282575957997,0.0476131924231945,1.38998379038704e-06
4,1,0.0377054038377905,0.00137104427153256,0.418286906283408,-0.0410852375714234,0.00162785564739631,0.377773446423578,0.0147972803325939,3.54188198609107e-05,0.896527498458551,0.5602634304405,0.0507755733042858,6.09279439801574e-07
5,0.0999999999999998,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644395,0.00775182097380966,4.14015754894859e-05,0.888182260928077,0.280053130265259,0.0540368795669872,2.60004494792548e-07
5,0.5,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644395,0.00775182097380966,4.14015754894859e-05,0.888182260928077,0.280053130265259,0.0540368795669872,2.60004494792548e-07
5,1,0.0179881643308943,0.00127237006953407,0.435562999017553,-0.0204586805582695,0.00164586797275013,0.375145385644395,0.00775182097380966,4.14015754894859e-05,0.888182260928077,0.280053130265259,0.0540368795669872,2.60004494792548e-07
